Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
12/23/2009,508379025.4,1475263.964,7391072,,,,28245278,,16411934,409425,44850099.16,226180,1997555692,,591331703.6
12/24/2009,374640000,628009,5815748.112,,,,13648896,,8656143.701,,20247919.23,122640,811425779.7,,276699701
12/28/2009,854617880.1,1417800.034,6622720.256,,,,28543319.36,,9640290,179955.009,23689738.5,222200,1130396826,,656453974.8
12/29/2009,353395359.4,847119,5593094.216,,,,26210002,,10393190.36,140489.9965,24219096.37,185640,1300064954,,595239991.3
12/30/2009,341281073.2,1978850,5249478,,,,19562200,,12706904,119190,38352960.86,203112,1265169343,,699560328.9
12/31/2009,540060858,1808063.956,13004005.5,,,,17094163,,11814522.6,74727.0038,27891063.74,420158,1514729250,,768027138.1
1/4/2010,948541553.9,1964599.953,10915252.21,,,,19842514.45,,24136055.15,96455.9976,70595017.93,595242,3022227865,,1052732937
1/5/2010,690875094.9,856285,10796812.21,,,,20049983.55,,19028415.34,89188.0022,47828071.68,327364,2159444826,,814951969.6
1/6/2010,717512418.4,1746822.042,12317304.48,,,,18937614,,16791209.59,687322.9662,46966220.69,304096,2184383751,,677859462
1/7/2010,668693292.6,1146964.027,8285980.839,,,,16810492.62,,20977370.26,4758611,46869121.26,281523,1791706624,,619494869.1
1/8/2010,521212324.9,1530809.964,7449434,,,,15312023.66,,17379508.39,714700,54311042.16,178673,1776301961,,734317125
1/11/2010,730683288.9,1213055.971,8109569.683,,,,18686855.58,,22114700,1082059.974,58106157.67,202419,1834175347,,715006512.4
1/12/2010,941451177.1,1888788.045,14524791,,,,21800997.02,,28557145.01,1247100,71410574.51,399687,2795575434,,1085454107
1/13/2010,920088925,1878790.045,9764585.383,,,,58480328,,26231250,2083632,39623143.29,320382,2044106207,,888488432
1/14/2010,753480490,1475600,8232384.162,,,,86137686.92,,14258186.49,805029.981,22789387.52,162733,2244812819,,774496282.6
1/15/2010,1487044702,2132310.051,17272545.67,,,,34433593.54,,22016610,215475,56594432.41,663984,3216801587,,1100020966
1/19/2010,1165730936,1125179.973,15838281.69,,,,30426757,,28541686,177702.0042,61885026.82,247500,2465164382,,1008618615
1/20/2010,1261277496,1864995,12745239.5,,,,26350831.82,,31868417,520254.0126,102432843.7,492412,3297102419,,1375996989
1/21/2010,2307941576,1053696,26650485,,,,35872549.37,,57679242,381891.9816,143637565.7,1115596,4703384961,,1262471731
1/22/2010,2500799173,2195891.946,34306352.64,,,,23072567.47,,68406522.77,481103.9883,101547103,1324830,4284764326,,1477788748
1/25/2010,1858512361,877823.9784,24003833.9,,,,17632295.59,,43806577.43,2131043.949,49016357.44,710208,3438199132,,1103834411
1/26/2010,1869742457,1934944,23660724.11,,,,25199109.58,,42665580,428064,128719951,782026,3509751868,,1200175988
1/27/2010,1657577179,2111199.896,24635703.54,,,,45977897.06,,54490640,649440,95877963.5,1881648,3570560093,,1470768960
1/28/2010,1357011000,1599960.04,24580676.91,,,,17658282,,68230683,1276380,70761715.25,887142,3795951518,,1392093450
1/29/2010,1463696339,1141426,41623904.23,,,,21478100.5,,71151710.73,4127727.793,88546041.43,1141450,5806888276,,1517574656
2/1/2010,1016923280,1519687.038,23165920.57,,,,15577204.64,,46652702.52,1660359.959,55730005.5,852585,3220593693,,1235735849
2/2/2010,914736917.3,986171.9518,28813310,,,,18599853,,37587251.26,321437.9922,64322715.36,949556,3439535343,,1071398505
2/3/2010,673416988.3,1458617.036,13372883.49,,,,13689929.37,,30269584.01,102475.005,37818768.36,501866,2534357849,,1087344344
2/4/2010,1642586788,1593462.04,45575425,,,,23871292,,86652495.74,1116836.972,94378192.27,1743360,4957996098,,1660667454
2/5/2010,2898600468,1639250,67393870.76,,,,33011823.44,,110655668.5,693729.9654,123731861.1,3522932,6171476446,,2216013228
2/8/2010,1084425001,736771.9812,28765650,,,,15112769.64,,57197827.78,1097799.945,61718189.44,1863144,2900451050,,970749460.8
2/9/2010,1935298238,904704,40105694.51,,,,30741088.72,,106032850.6,1851147.092,102484564.1,2935044,5070996127,,1603754159
2/10/2010,1127040258,1462980.037,29521733.09,,,,10929968,,61414716,751060.0188,60292512,1443288,3210622780,,1215549324
2/11/2010,1009116056,908226.9546,15197640.57,,,,14424228,,64483380,615212.9847,84924735.21,1640331,3511742938,,1012539079
2/12/2010,1381626569,1577664,30448198.57,,,,15480356.64,,83035922,343140.0172,71603410.96,1417018,2423757257,,982986075
2/16/2010,921054210.1,1428768,28754025,,,,14646240,,49655018,600023,63924482.29,1076920,2886145881,,1036459159
2/17/2010,908182935.6,842282.9793,31969971.61,,,,15767999.64,,40725808.62,557381.9862,77452300.14,752544,2517882627,,1042555560
2/18/2010,903955991.6,1146040,19306840.37,,,,19200075,,42360858,844777.9582,56200148.38,803852,2446656734,,732334652
2/19/2010,969654736.4,1867320.046,21295104.82,,,,24441760,,36876810.27,407387.9898,86162928.49,762455,3042687901,,850692843.9
2/22/2010,548815146.9,1175551.971,17407001,,,,16427116.63,,24839760,678027.9831,87883018.23,589154,2225689438,,764948198.4
2/23/2010,1112045306,1143228.028,15158304.29,,,,15172867.66,,37073710.75,300374.9925,60391992,1761897,3976065216,,943248870
2/24/2010,1001607161,1389240.034,15758064.3,,,,13492916.7,,39291617.35,278069.9931,55599782.09,1137823,2840669420,,830859260.2
2/25/2010,1038464600,924798.0454,28457660.54,,,,18841481.15,,46670128.41,364454.9909,76211194.14,1676185,2840352655,,969872101.5
2/26/2010,719081650.9,496906,11493020.22,,,,12130800,,35369685,239657.9941,51494652.96,755768,2560735542,,1037361184
3/1/2010,605261156.5,450890.022,18012791.65,,,,10851960.76,,22623551.22,221508,58614149.92,736170,2898048409,,783486417.2
3/2/2010,590079944.3,1234199.97,22695299.44,,,,28841904,,25696020.89,1164095.972,86767994.02,850156,2658764710,,755270451
3/3/2010,613287847.4,1824839.911,12603411,,,,16405350,,24157196,882459,106127477.7,939008,2759449519,,826860068
3/4/2010,644587350,722225,10365850.2,,,,13072428.58,,20018250.7,505529.9754,78067346.21,26816521.03,2437124105,,681977208
3/5/2010,714250173.5,985064.0472,15907429.38,,,,19545624.43,,32088256,435119.9895,98203203.99,28021980.58,3201376893,,1025723374
3/8/2010,604830056.1,1014282.049,10487800,,,,22821109.5,,16474025.41,337121.9919,72156311.59,37683000.79,2324549520,,623258778
3/9/2010,916748824.3,584360.028,9383396.367,,,,22656859,,29304800,767009.9815,103985151.6,43809102,2751171291,,842303994.3
3/10/2010,774818113,942524.9775,13685500,,,,21581032,,31536258,1548368,103669293.8,32184819.3,3070771750,,751351815.3
3/11/2010,822564680.3,929084.0221,13792892,,,,22448180.51,,29058874.95,351474.983,65478898.98,27391741,1760675622,,719615950
3/12/2010,1079056212,1177399.972,18886440,,,,15128748.33,,22388588.19,568344.0136,74843832.25,15286847.67,2025028355,,653632078
3/15/2010,720455828,4384691.896,7759580.306,,,,12617919.45,,18222671.34,530351.9746,60587126.05,22055852.93,1789021521,,562775721
3/16/2010,733301016,6808500,11790165.23,,,,25254988.91,,31217032.14,219180.0104,74668469.87,13357755.29,2430147083,,879753266.7
3/17/2010,751500267,6334068.296,20735838.41,,,,20679345.55,,31326144,160321.9962,127965656.7,19060995.87,3028318983,,979126135
3/18/2010,809149997.5,6551149.153,10552109.58,,,,16099629,,24572020,248625.9941,76542664,21000990.93,3082507467,,889423608.1
3/19/2010,1295379072,1776082.084,8428580.168,,,,11449024.5,,32284633.19,210000,88032992.45,24520944.52,2718288675,,986676771.2
3/22/2010,952346216.8,1850256.086,13272345.53,,,,20153728,,32403878.79,286755.9864,77059032.61,19875240.43,2380497756,,970320096.5
3/23/2010,991359360.3,3169412,10989000,,,,20011275.43,,26802973.02,199138.9953,73828832,19349393.57,2103501506,,868605328.9
3/24/2010,767027574.2,1166880.054,9587944,,,,19143607.18,,22305514,125160.003,83746728.68,26714220,2668975781,,1002870000
3/25/2010,1033053679,1265992,15890861.68,,,,22726341.5,,35308432,798248.0193,90041703.71,22976940.96,2961061985,,1024256029
3/26/2010,960668114,2215486,7803156.686,,,,15397656,,31509886.81,255833.9939,72588128,21209306.55,2868726430,,1302608715
3/29/2010,641135784.2,1543275,5711475.116,,,,11429216,,21044625,623427,60139796.75,28227601,2425100792,,761647086
3/30/2010,630913251.7,910149,4849116.098,,,,13875244.3,,39342675,978746.0458,80709393.81,33065351.25,2113755000,,938672640
3/31/2010,660153308.1,728801.9829,14374913.71,,,,16419936,,39502320,844800.04,59234567.17,23940087.45,2226399967,,1270891548
4/1/2010,1253922421,599760,12206655.75,,,,16284229.65,,39125101.5,500058.0234,161252580.5,29309799,4161269238,,1167537503
4/5/2010,465013806.7,1157224,10280165,,,,10723964.54,,30151359,2240623.895,60586202.5,14746890.38,2775065721,,823171005.6
4/6/2010,483601876.4,2484574.943,6625800.27,,,,35209193,,39581712,625609.9708,70610294.25,16270254.42,1877596448,,854511544
4/7/2010,1187990733,1239520.971,9571781.806,,,,17634339.25,,45537610,1846669.957,77740323.27,27687595.7,2412637176,,1105372035
4/8/2010,958551517.3,1412039.967,12167204.49,,,,21233159.55,,36244935,1506624.035,90202386,21117040.54,2266139928,,781447730
4/9/2010,661801774,1166922.027,10555775.78,,,,11117934,,30733824,1284066,63488367.77,23878928,2042380733,,979048114.3
4/12/2010,481100970,1351295.031,9564799.804,,,,11967028.49,,11674464.54,1265695.941,70121754.54,8246700.42,1891736969,,687512850
4/13/2010,672977025,3306000,7318500.15,,,,13545162.29,,15293417,2273711.893,58299120.82,6660220.168,2040139486,,520904310.9
4/14/2010,888917754,1323806.97,10813296.22,,,,17283827.36,,16576963,6847936.16,95181196.17,5807724.153,1889284044,,1205130973
4/15/2010,966555822.7,16485606.75,6540585,,,,13719321.71,,12085324,15517603.27,70533362.88,8181250.212,1901084829,,784983600
4/16/2010,2435374648,1314496.061,22037715.45,,,,18056052,,42847348.32,3257778,171852846.4,28875440.69,6049963910,,1720947222
4/19/2010,1161880258,2667215.939,10909898.55,,,,12699489.73,,32471260,1933932.046,85666545.02,21210003.5,3782189323,,1111996490
4/20/2010,988901082.2,4570155.209,6766320.28,,,,11104672,,12522390,2949808.14,80393341.17,7825440.192,2733583587,,799145387.9
4/21/2010,1013312364,1479000,8311364.656,,,,11529474.24,,19693460,2112416.1,80570168.32,7416219.359,2735639368,,882032954.4
4/22/2010,1107498215,1077661.025,6802651.859,,,,17809523.63,,29700000,3681252.088,85477951.38,11342214.56,3117548733,,1240064350
4/23/2010,1553232262,1634113.037,11682720.24,,,,12572864,,26049934.95,907574,86189523.69,8419572.211,2787019811,,1030400628
4/26/2010,898399672,1753573,6251794,,,,76160133,,13124824,396738,74018277.28,6954780.348,1994422984,,1111776660
4/27/2010,2183622362,621614.9855,16526328.34,,,,18672669,,50549258.03,1940327.953,161661321,27949535.37,5517526368,,2153676175
4/28/2010,1639821359,4035659,11525055.53,,,,11075220.47,,36753136,1539939.963,82071872,18493793.57,2888263710,,1784898912
4/29/2010,834614708.9,1024835.024,9312159.613,,,,15082068,,24393279.02,1285575.061,70280096.39,10638407.74,2975493094,,1179465047
4/30/2010,1609210561,974963.9774,10033279.79,,,,13004772,,41083855,1228038,71198295.69,13640416.64,3260052322,,1350298411
5/3/2010,928548200.3,1389024,15218560,,,,18533886,,31082380,882607,73290812,8259905.802,2014633496,,1208137218
