Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
10/11/2006,118.580002,55.189999,65.860001,,,,67.279999,,62.869999,52.299999,,,98.889988,,68.199997
10/12/2006,119.459999,55.610001,65.400002,,,,67.629997,,61.93,52.549999,,,101.300011,,68.93
10/13/2006,119.639999,55.709999,65.349998,,,,67.879997,,61.93,52.630001,,,101.900013,,69.050003
10/16/2006,119.769997,55.950001,65.25,,,,67.860001,,61.700001,53.130001,,,102.180004,,69.309998
10/17/2006,119.57,55.689999,65.440002,,,,67.830002,,61.82,52.810001,,,100.839993,,68.879997
10/18/2006,119.900002,55.82,65.230003,,,,68.150002,,61.77,52.959999,,,101.829987,,69.050003
10/19/2006,120.150002,55.860001,65.080002,,,,68.220001,,61.470001,53.23,,,102.279991,,69.57
10/20/2006,119.93,56.009998,65.25,,,,68.279999,,61.560001,53.040001,,,101.799992,,69.790001
10/23/2006,120.870003,56.34,64.599998,,,,68.599998,,60.599998,53.639999,,,101.709995,,69.849998
10/24/2006,121.209999,56.310001,64.559998,,,,68.68,,60.34,53.57,,,102.290005,,69.860001
10/25/2006,121.389999,56.560001,64.550003,,,,68.919998,,60.310001,53.450001,,,103.479984,,70.349998
10/26/2006,121.43,56.700001,64.400002,,,,68.989998,,60.060001,54.119999,,,103.730015,,70.889999
10/27/2006,120.860001,56.349998,64.739998,,,,68.699997,,60.68,53.34,,,102,,70.400002
10/30/2006,120.769997,56.27,64.889999,,,,68.709999,,60.880001,53.369999,,,101.649994,,70.25
10/31/2006,120.730003,56.209999,64.940002,,,,68.650002,,60.98,52.939999,,,103.599987,,70.290001
11/1/2006,120.260002,56.009998,65.169998,,,,68.639999,,61.43,52.860001,,,102.560005,,70.169998
11/2/2006,120,55.919998,65.309998,,,,68.449997,,61.68,53.080002,,,102.879993,,70.43
11/3/2006,119.779999,55.849998,65.519997,,,,68.419998,,61.889999,52.869999,,,103.200005,,70.160004
11/6/2006,121.010002,56.360001,64.889999,,,,68.989998,,60.689999,53.279999,,,105.650013,,71.199997
11/7/2006,121.550003,56.48,64.629997,,,,69.230003,,60.290001,53.080002,,,105.200008,,71.279999
11/8/2006,121.830002,56.580002,64.449997,,,,69.5,,60.02,52.91,,,105.470009,,71.300003
11/9/2006,121.160004,56.25,64.870003,,,,69.18,,60.599998,52.259998,,,105.830006,,70.940002
11/10/2006,121.110001,56.240002,64.900002,,,,69.330002,,60.689999,52.259998,,,105.980015,,71.220001
11/13/2006,121.349998,56.349998,64.690002,,,,69.489998,,60.48,51.990002,,,106.340012,,70.769997
11/14/2006,122.32,56.610001,64.269997,,,,69.75,,59.5,53.099998,,,108,,71.550003
11/15/2006,122.690002,56.700001,64.029999,,,,69.800003,,59.060001,52.799999,,,108.200008,,71.529999
11/16/2006,123.360001,56.830002,63.849998,,,,70.150002,,58.709999,52.27,,,107.109993,,71.379997
11/17/2006,123.260002,56.98,63.720001,,,,70.099998,,58.450001,51.91,,,106.98999,,71.169998
11/20/2006,123.129997,56.970001,63.75,,,,70.059998,,58.599998,51.009998,,,106.569992,,70.629997
11/21/2006,123.150002,56.950001,63.830002,,,,69.699997,,58.630001,51.029999,,,108.27,,70.980003
11/22/2006,123.25,57,63.720001,,,,69.709999,,58.549999,51.540001,,,109.029991,,71.669998
11/24/2006,122.68,56.869999,64.010002,,,,69.599998,,58.990002,51.360001,,,109.01001,,71.290001
11/27/2006,121.110001,56.209999,64.889999,,,,68.849998,,60.610001,51.23,,,106.950005,,70.699997
11/28/2006,121.260002,56.380001,64.849998,,,,69.040001,,60.5,51.970001,,,107.570011,,71.330002
11/29/2006,122.330002,56.93,64.370003,,,,69.800003,,59.619999,52.950001,,,109.310005,,72.139999
11/30/2006,122.279999,56.91,64.379997,,,,69.769997,,59.57,53.459999,,,109.799995,,72.449997
12/1/2006,122.050003,56.889999,64.599998,,,,69.830002,,59.939999,53.220001,,,109.350002,,72.360001
12/4/2006,122.800003,57.169998,64.150002,,,,70.32,,59.200001,54.209999,,,111.629997,,72.830002
12/5/2006,123.360001,57.400002,63.91,,,,70.699997,,58.779999,54.25,,,113.580002,,73.239998
12/6/2006,123.150002,57.299999,64.019997,,,,70.599998,,59.029999,54.52,,,112.799995,,73.080002
